# index, name, _pos
484,868,"array([-0.89357401,  1.47631376])"
485,890,"array([-0.89632613,  1.46166628])"
486,891,"array([-0.89889798,  1.46947044])"
487,913,"array([-0.89663174,  1.48325527])"
488,927,"array([-0.91898907,  1.45720096])"
489,985,"array([-0.9094619 ,  1.49018815])"
490,1089,"array([-0.89856403,  1.48421085])"
491,1109,"array([-0.92148676,  1.49332896])"
492,1151,"array([-0.87626398,  1.46459179])"
493,1226,"array([-0.91649114,  1.47618753])"
494,1275,"array([-0.9111235 ,  1.45530986])"
495,1554,"array([-0.88719545,  1.48211565])"
496,1573,"array([-0.86643454,  1.47000765])"
497,1614,"array([-0.89805377,  1.46768489])"
498,1628,"array([-0.90444802,  1.49184736])"
499,1645,"array([-0.90714054,  1.4824335 ])"
500,1666,"array([-0.91116161,  1.46579817])"
501,1685,"array([-0.91482316,  1.48941227])"
502,1721,"array([-0.90265697,  1.47854189])"
503,1730,"array([-0.87137982,  1.49314124])"
504,1760,"array([-0.88860969,  1.44813291])"
505,1829,"array([-0.91453061,  1.46309243])"
506,1899,"array([-0.88431327,  1.49575821])"
507,1931,"array([-0.91226293,  1.47041377])"
508,1949,"array([-0.89710823,  1.47722602])"
509,2035,"array([-0.88319043,  1.49575898])"
510,2072,"array([-0.90098584,  1.50214801])"
511,2088,"array([-0.89044012,  1.46940584])"
512,2114,"array([-0.89500642,  1.49724017])"
513,2144,"array([-0.89105251,  1.45257305])"
514,2153,"array([-0.84382345,  1.45256569])"
515,2379,"array([-0.8839421 ,  1.43976675])"
516,2392,"array([-0.91272687,  1.48954524])"
517,2396,"array([-0.87343143,  1.46673727])"
518,2523,"array([-0.9052228 ,  1.47006336])"
519,2544,"array([-0.87203553,  1.4955044 ])"
520,2609,"array([-0.90875976,  1.48893722])"
521,2657,"array([-0.89711379,  1.45964467])"
522,2821,"array([-0.88926384,  1.45980392])"
523,2913,"array([-0.856812  ,  1.45676196])"
524,2919,"array([-0.87462225,  1.47378112])"
525,2979,"array([-0.90263834,  1.49388596])"
526,3029,"array([-0.88852233,  1.50007549])"
527,3031,"array([-0.94209385,  1.4805305 ])"
528,3504,"array([-0.88255238,  1.45830832])"
529,3733,"array([-0.91734589,  1.48328181])"
530,3818,"array([-0.90675746,  1.46120345])"
531,4320,"array([-0.85735779,  1.46756349])"
532,4547,"array([-0.91099002,  1.49796028])"
533,4748,"array([-0.91459404,  1.46094378])"
534,4865,"array([-0.91228976,  1.46637126])"
535,5087,"array([-0.92009117,  1.44198259])"
536,5485,"array([-0.94380825,  1.4628928 ])"
537,5563,"array([-0.93571165,  1.46511643])"
538,5745,"array([-0.8263404 ,  1.46755156])"
539,5927,"array([-0.92383082,  1.45927619])"
540,6454,"array([-0.90518407,  1.51611611])"
541,6555,"array([-0.88880364,  1.43680436])"
542,6721,"array([-0.92357128,  1.43218627])"
543,7044,"array([-0.91781627,  1.42942907])"
544,7185,"array([-0.89355075,  1.4285116 ])"
545,11,"array([-0.87772906,  1.49457931])"
546,38,"array([-0.89193842,  1.4652796 ])"
547,117,"array([-0.89359483,  1.48424336])"
548,202,"array([-0.89275263,  1.483245  ])"
549,296,"array([-0.89392677,  1.4872688 ])"
550,297,"array([-0.90130404,  1.46810413])"
551,387,"array([-0.88260304,  1.47921562])"
552,414,"array([-0.90797557,  1.48166108])"
553,443,"array([-0.89497779,  1.48406845])"
554,471,"array([-0.88301718,  1.46707019])"
555,755,"array([-0.89785812,  1.47387   ])"
556,799,"array([-0.91377162,  1.48660817])"
557,866,"array([-0.89488544,  1.47720167])"
558,925,"array([-0.89585533,  1.48775983])"
559,991,"array([-0.88498087,  1.46497054])"
560,1221,"array([-0.88966773,  1.49315893])"
561,1266,"array([-0.90411338,  1.47488102])"
562,1328,"array([-0.89349086,  1.4957728 ])"
563,1372,"array([-0.8875268 ,  1.47082533])"
564,1513,"array([-0.8745763 ,  1.46667599])"
565,1523,"array([-0.90007758,  1.46106345])"
566,1540,"array([-0.90093402,  1.48737881])"
567,1545,"array([-0.89409317,  1.49278223])"
568,1664,"array([-0.89601431,  1.49650323])"
569,1676,"array([-0.86798097,  1.50510738])"
570,1823,"array([-0.90467051,  1.45888476])"
571,1879,"array([-0.89074254,  1.49442117])"
572,1966,"array([-0.94751843,  1.44109928])"
573,2517,"array([-0.88094169,  1.49503054])"
574,2834,"array([-0.88851956,  1.49878857])"
575,2999,"array([-0.9002478 ,  1.45362767])"
576,3014,"array([-0.94486328,  1.46489902])"
577,3253,"array([-0.91348041,  1.47028248])"
578,3373,"array([-0.89698256,  1.4993593 ])"
579,4031,"array([-0.86771499,  1.48502578])"
580,4034,"array([-0.87671096,  1.49486466])"
581,4116,"array([-0.89638113,  1.46499972])"
582,4197,"array([-0.87743536,  1.44561583])"
