# index, name, _pos
386,1766,"array([4.19468591, 0.96468681])"
387,1769,"array([4.20327909, 0.9696076 ])"
388,1774,"array([4.19861363, 0.96915357])"
389,1779,"array([4.19595714, 0.95985436])"
390,1785,"array([4.20197016, 0.96274857])"
391,1798,"array([4.19308515, 0.96427016])"
392,1829,"array([4.19367937, 0.95896485])"
393,1842,"array([4.20155604, 0.96648712])"
394,1843,"array([4.19823302, 0.96486847])"
395,1844,"array([4.20208792, 0.97111231])"
396,1846,"array([4.19976006, 0.9555312 ])"
397,1856,"array([4.199702  , 0.97048978])"
398,1860,"array([4.19236619, 0.96534605])"
399,1874,"array([4.20589389, 0.96164099])"
400,1887,"array([4.21027133, 0.97292161])"
401,1893,"array([4.19928827, 0.96259163])"
402,1904,"array([4.20081028, 0.97252409])"
403,1908,"array([4.20465337, 0.96618813])"
404,1923,"array([4.20075012, 0.94952324])"
405,1926,"array([4.20264283, 0.94312748])"
406,1952,"array([4.2004161 , 0.96417443])"
407,1956,"array([4.1955947 , 0.95627428])"
408,1962,"array([4.19254948, 0.96135829])"
409,1967,"array([4.20331669, 0.97402858])"
410,1972,"array([4.19305133, 0.94881804])"
411,2004,"array([4.19029591, 0.96152159])"
412,2017,"array([4.19758106, 0.96607703])"
413,2019,"array([4.18602237, 0.95852393])"
414,2023,"array([4.20232692, 0.969469  ])"
415,2032,"array([4.20179148, 0.96775307])"
416,2034,"array([4.19651343, 0.96666279])"
417,2040,"array([4.1816759 , 0.95997662])"
418,2056,"array([4.19280101, 0.96532587])"
419,2058,"array([4.19522283, 0.96048695])"
420,2059,"array([4.18956109, 0.95550427])"
421,2068,"array([4.19911553, 0.9660678 ])"
422,2069,"array([4.18458236, 0.96173464])"
423,2073,"array([4.21635393, 0.94897725])"
424,2076,"array([4.20923507, 0.96202771])"
425,2095,"array([4.20151989, 0.96311636])"
426,2103,"array([4.19601489, 0.96777285])"
427,2115,"array([4.18963649, 0.96353975])"
428,2117,"array([4.19836893, 0.95790229])"
429,2119,"array([4.20317202, 0.9464294 ])"
430,2129,"array([4.19098811, 0.96687481])"
431,2133,"array([4.19098732, 0.95697151])"
432,2136,"array([4.18491618, 0.97438165])"
433,2162,"array([4.19862444, 0.97050686])"
434,2167,"array([4.19188085, 0.96382711])"
435,2184,"array([4.19303611, 0.96205529])"
436,2200,"array([4.20798482, 0.96641778])"
437,2214,"array([4.19696439, 0.96475086])"
438,2227,"array([4.19547925, 0.97226242])"
439,2228,"array([4.196778  , 0.95938904])"
440,2233,"array([4.19760133, 0.95695032])"
441,2250,"array([4.19636021, 0.96784285])"
442,2295,"array([4.20360845, 0.96574832])"
443,2303,"array([4.19777603, 0.96133131])"
444,2304,"array([4.1964672, 0.9628696])"
445,2312,"array([4.1875599 , 0.96383289])"
446,2314,"array([4.21204548, 0.97060181])"
447,2317,"array([4.20431854, 0.96886626])"
448,2333,"array([4.18793566, 0.95041988])"
449,2347,"array([4.1983757 , 0.96548099])"
450,2375,"array([4.20503259, 0.96689033])"
451,2378,"array([4.19854815, 0.96179244])"
452,2382,"array([4.20067654, 0.95754117])"
453,2386,"array([4.19839971, 0.96786799])"
454,2392,"array([4.19049353, 0.97025367])"
455,2403,"array([4.19679803, 0.96374232])"
456,2404,"array([4.19248625, 0.95936983])"
457,2405,"array([4.19385208, 0.96354281])"
458,2411,"array([4.1953164 , 0.95318982])"
459,2421,"array([4.1959677 , 0.95670868])"
460,2425,"array([4.18478122, 0.96474695])"
461,2448,"array([4.20019234, 0.96891083])"
462,2457,"array([4.20066788, 0.96905151])"
463,2469,"array([4.20381038, 0.96549838])"
464,2471,"array([4.19435092, 0.94565619])"
465,2484,"array([4.19164134, 0.96661236])"
466,2497,"array([4.19681627, 0.96621371])"
467,2503,"array([4.19930468, 0.94948743])"
468,2519,"array([4.19698102, 0.96062927])"
469,2525,"array([4.19128924, 0.95340637])"
470,2558,"array([4.19295498, 0.96176183])"
471,2575,"array([4.19790498, 0.97278874])"
472,2601,"array([4.20310871, 0.96421523])"
473,2616,"array([4.19360444, 0.93743876])"
474,2625,"array([4.19462687, 0.96860875])"
475,2626,"array([4.19569327, 0.95858854])"
476,2628,"array([4.20110603, 0.96510516])"
477,2629,"array([4.19729111, 0.96839931])"
478,2647,"array([4.19894343, 0.95141854])"
479,2655,"array([4.18701964, 0.96609332])"
480,2657,"array([4.21320577, 0.94615844])"
481,2659,"array([4.20898758, 0.95919174])"
482,2660,"array([4.19532543, 0.96771244])"
483,2673,"array([4.19132813, 0.95032628])"
484,2676,"array([4.18982269, 0.96763822])"
485,2687,"array([4.18740691, 0.95673618])"
486,2693,"array([4.1935654 , 0.97963487])"
487,2738,"array([4.18860564, 0.96725145])"
488,2754,"array([4.19354113, 0.97456279])"
489,2759,"array([4.20778429, 0.96031137])"
