# index, name, _pos
322,626,"array([ 1.65117346, -0.46336701])"
323,632,"array([ 1.63693113, -0.4290192 ])"
324,636,"array([ 1.6674659 , -0.44116339])"
325,643,"array([ 1.65354236, -0.46211865])"
326,656,"array([ 1.61539656, -0.45857392])"
327,658,"array([ 1.64269385, -0.46658061])"
328,661,"array([ 1.67102681, -0.41268613])"
329,666,"array([ 1.64313428, -0.4974435 ])"
330,679,"array([ 1.62744967, -0.45168607])"
331,716,"array([ 1.65682636, -0.43138874])"
332,723,"array([ 1.64161213, -0.42558428])"
333,729,"array([ 1.6783921 , -0.48988051])"
334,730,"array([ 1.67732295, -0.43087681])"
335,755,"array([ 1.66136125, -0.43980704])"
336,758,"array([ 1.6710174 , -0.42013087])"
337,766,"array([ 1.66196264, -0.40979846])"
338,784,"array([ 1.65845964, -0.44699068])"
339,795,"array([ 1.63748583, -0.44521322])"
340,805,"array([ 1.62177281, -0.46078514])"
341,831,"array([ 1.65711921, -0.48622306])"
342,851,"array([ 1.65633847, -0.44223529])"
343,854,"array([ 1.6272362 , -0.42463824])"
344,866,"array([ 1.66267047, -0.42949046])"
345,867,"array([ 1.59249304, -0.43094613])"
346,871,"array([ 1.63441894, -0.43387032])"
347,874,"array([ 1.61318518, -0.46327835])"
348,881,"array([ 1.60641324, -0.47404241])"
349,893,"array([ 1.66135698, -0.41706185])"
350,896,"array([ 1.66688655, -0.4326612 ])"
351,912,"array([ 1.65623229, -0.4535099 ])"
352,938,"array([ 1.64031158, -0.43946657])"
353,942,"array([ 1.63371524, -0.45524762])"
354,943,"array([ 1.64024718, -0.43469244])"
355,946,"array([ 1.66838725, -0.40999141])"
356,956,"array([ 1.68182879, -0.43102438])"
357,967,"array([ 1.67864392, -0.43476764])"
358,968,"array([ 1.65462019, -0.47940016])"
359,979,"array([ 1.64613316, -0.43530779])"
360,985,"array([ 1.64972458, -0.43229384])"
361,1003,"array([ 1.62029202, -0.46315995])"
362,1005,"array([ 1.6348451 , -0.43854483])"
