# index, name, _pos
283,4798,"array([ 2.82320128, -0.94362604])"
284,4804,"array([ 2.89033474, -0.88101091])"
285,4880,"array([ 2.85530541, -0.9701364 ])"
286,4891,"array([ 2.86688523, -0.9607123 ])"
287,4917,"array([ 2.73521446, -0.86589171])"
288,4919,"array([ 2.82216573, -0.95569433])"
289,4936,"array([ 2.8376951 , -0.96949197])"
290,4974,"array([ 2.95501735, -0.89752222])"
291,4982,"array([ 2.78834234, -0.868256  ])"
292,4996,"array([ 2.83917156, -0.79423765])"
293,5055,"array([ 2.81307357, -0.83737899])"
294,5067,"array([ 2.9075284 , -0.91205218])"
295,5084,"array([ 2.81380667, -0.98453109])"
296,5117,"array([ 2.81307148, -0.92101709])"
297,5122,"array([ 2.89021165, -0.84179634])"
298,5148,"array([ 2.94170658, -0.91313008])"
299,5158,"array([ 2.92397075, -0.85291807])"
300,5164,"array([ 2.82277953, -0.93266518])"
301,5186,"array([ 2.91149877, -0.97604959])"
302,5198,"array([ 2.93167053, -0.87003935])"
303,5199,"array([ 2.93529379, -0.92167249])"
304,5212,"array([ 2.84354725, -0.94597762])"
305,5248,"array([ 2.86217617, -0.853623  ])"
306,5258,"array([ 2.91854272, -0.9106404 ])"
307,5283,"array([ 2.87116444, -0.90599847])"
308,5285,"array([ 2.81457065, -0.93058553])"
309,5308,"array([ 2.87862531, -0.86449577])"
310,5323,"array([ 2.92686956, -0.9048653 ])"
311,5336,"array([ 2.84507005, -0.94873093])"
312,5400,"array([ 2.81010164, -0.82528755])"
313,5407,"array([ 2.8699095 , -0.91870969])"
314,5414,"array([ 2.83287619, -0.83672288])"
315,5420,"array([ 2.91950137, -0.84516251])"
316,5423,"array([ 2.91742683, -0.93167607])"
317,5431,"array([ 2.82015605, -0.8500768 ])"
318,5452,"array([ 2.94877193, -0.88608036])"
319,5488,"array([ 2.8395171 , -0.93730382])"
320,5501,"array([ 2.94025664, -0.93263818])"
321,5502,"array([ 2.93428002, -0.88825157])"
322,5508,"array([ 2.84196184, -0.90675528])"
323,5532,"array([ 2.91568979, -0.88441933])"
324,5623,"array([ 2.85573531, -0.92509491])"
325,5648,"array([ 2.92290493, -0.91769872])"
326,5673,"array([ 2.87303932, -0.9657397 ])"
327,5675,"array([ 2.82478328, -0.94926741])"
328,5840,"array([ 2.90241688, -0.84536582])"
329,5857,"array([ 2.97022991, -0.91372959])"
330,5862,"array([ 2.83649954, -0.86764881])"
331,5864,"array([ 2.86874784, -0.94608442])"
332,5986,"array([ 2.91889873, -0.90355513])"
333,6050,"array([ 2.95420933, -0.91639838])"
334,6051,"array([ 2.90969529, -0.94209773])"
335,6121,"array([ 2.91627006, -0.91663501])"
336,6146,"array([ 2.92425461, -0.90988141])"
337,6185,"array([ 2.8324081 , -0.94725399])"
338,6197,"array([ 2.90859097, -0.86100851])"
339,6213,"array([ 2.8218305 , -0.83828226])"
340,6246,"array([ 2.87108349, -0.8562937 ])"
341,6279,"array([ 2.85768156, -0.93186564])"
342,6342,"array([ 2.80663732, -0.93079413])"
343,6346,"array([ 2.91755094, -0.89847719])"
344,6382,"array([ 2.87742132, -0.81716515])"
345,6402,"array([ 2.84944396, -0.78994234])"
346,6436,"array([ 2.8064481 , -0.89650533])"
347,6453,"array([ 2.81331808, -0.93613173])"
348,6490,"array([ 2.90463322, -0.94119924])"
349,6498,"array([ 2.84714091, -0.87430791])"
350,6521,"array([ 2.86375985, -0.810331  ])"
351,6528,"array([ 2.77522769, -0.89770229])"
352,6539,"array([ 2.82925745, -0.92134714])"
353,6570,"array([ 2.9224444 , -0.89384511])"
354,6590,"array([ 2.8728365 , -0.92574073])"
355,6616,"array([ 2.81007327, -0.9317232 ])"
356,6680,"array([ 2.84472902, -0.87354082])"
357,6689,"array([ 2.93758642, -0.94108675])"
358,6727,"array([ 2.9174554, -0.9221653])"
359,6772,"array([ 2.93366464, -0.90847148])"
360,6822,"array([ 2.8194474, -0.8535012])"
361,6823,"array([ 2.89743524, -0.92442115])"
362,6824,"array([ 2.94696158, -0.88311696])"
363,6866,"array([ 2.82201662, -0.96945121])"
364,6868,"array([ 2.95705694, -0.91362589])"
365,6878,"array([ 2.91268165, -0.93427955])"
366,6938,"array([ 2.89217697, -0.93031203])"
367,6942,"array([ 2.8406636 , -0.90130714])"
368,6964,"array([ 2.8484807 , -0.80756319])"
369,7013,"array([ 2.84997906, -0.9259849 ])"
370,7047,"array([ 2.85864468, -0.85860871])"
371,7048,"array([ 2.81929185, -0.96292413])"
372,7065,"array([ 2.91426283, -0.89969166])"
373,7079,"array([ 2.9375076 , -0.88951414])"
374,7081,"array([ 2.91672335, -0.88869051])"
375,7131,"array([ 2.86883914, -0.95108829])"
376,7198,"array([ 2.85964429, -0.89352584])"
377,7212,"array([ 2.77453974, -0.86144124])"
378,7213,"array([ 2.84834652, -0.96544429])"
379,7228,"array([ 2.90620231, -0.91599491])"
380,7234,"array([ 2.77617279, -0.89154443])"
381,7260,"array([ 2.8577943 , -0.96235178])"
382,7274,"array([ 2.92510305, -0.93752419])"
383,7296,"array([ 2.87065392, -0.97867363])"
384,7325,"array([ 2.94530033, -0.89484195])"
385,7334,"array([ 2.75211423, -0.85261739])"
386,7397,"array([ 2.93720597, -0.90816046])"
387,7416,"array([ 2.92656346, -0.84774174])"
388,7418,"array([ 2.93937511, -0.89373622])"
389,7467,"array([ 2.8634511 , -0.93399688])"
390,7470,"array([ 2.94982961, -0.92920576])"
391,7511,"array([ 2.9179815 , -0.87122961])"
392,7536,"array([ 2.82706521, -0.85664054])"
393,7569,"array([ 2.87770657, -0.95344534])"
394,7581,"array([ 2.80753853, -0.97113015])"
395,7587,"array([ 2.94116036, -0.86701508])"
396,7590,"array([ 2.89694458, -0.82647234])"
397,7593,"array([ 2.90876452, -0.97970147])"
398,7650,"array([ 2.9161343 , -0.90772565])"
399,7690,"array([ 2.79206037, -0.90639185])"
400,7820,"array([ 2.83501745, -0.94403551])"
401,7850,"array([ 2.90740977, -0.96066802])"
402,7876,"array([ 2.80498424, -0.84151033])"
403,7901,"array([ 2.85249797, -0.93372965])"
404,7929,"array([ 2.87969344, -0.85889041])"
405,8018,"array([ 2.94434216, -0.90964085])"
406,8057,"array([ 2.96554779, -0.88612919])"
407,8151,"array([ 2.85517059, -0.90921386])"
408,8302,"array([ 2.92126895, -0.92174025])"
409,8307,"array([ 2.87724873, -0.96268228])"
410,8328,"array([ 2.90041409, -0.94189414])"
411,8345,"array([ 2.93120432, -0.90460907])"
412,8419,"array([ 2.91121632, -0.88815348])"
413,8440,"array([ 2.80874254, -0.86201001])"
